new_id,orig_id,pf,net,deals,win_rate
1,91,6.79,175.39,33.0,91.3
2,90,6.23,175.43,23.0,91.3
3,123,6.23,175.43,33.0,91.3
4,36,6.11,175.39,33.0,91.3
5,62,6.11,175.39,33.0,91.3
6,63,6.11,175.39,33.0,91.3
7,64,6.11,175.39,33.0,91.3
8,65,6.11,175.39,33.0,91.3
9,89,6.11,175.39,33.0,91.3
10,92,6.11,175.39,33.0,91.3
11,93,6.11,175.39,33.0,91.3
12,95,6.11,175.39,33.0,91.3
13,121,6.11,175.39,33.0,91.3
14,66,6.07,174.01,33.0,91.3
15,96,6.07,174.01,33.0,91.3
16,99,6.07,174.01,33.0,91.3
17,107,5.96,170.02,23.0,91.3
18,97,5.89,156.7,35.0,87.5
19,122,5.85,166.34,24.0,91.67
20,18,5.62,125.12,31.0,90.48
21,76,5.55,186.94,37.0,88.0
22,77,5.55,186.94,37.0,88.0
23,102,5.55,186.94,37.0,88.0
24,104,5.55,186.94,37.0,88.0
25,105,5.55,186.94,37.0,88.0
26,125,5.55,186.94,37.0,88.0
