new_id,orig_id,label,pf,net,deals,win_rate
1,91,NY_ULTRA (PF~6.8),6.79,175.39,33.0,91.3
2,90,NY_SNIPER+ (PF~6.2),6.23,175.43,23.0,91.3
3,123,NY_CORE_+ (PF~6.23),6.23,175.43,33.0,91.3
4,36,NY_SNIPER_CLONE (PF~6),6.11,175.39,33.0,91.3
5,62,NY_CLONE_PF6,6.11,175.39,33.0,91.3
6,89,NY_SNIPER (PF~6),6.11,175.39,33.0,91.3
7,92,NY_CLASSIC (PF~6.1),6.11,175.39,33.0,91.3
8,121,NY_CORE (PF~6.1),6.11,175.39,33.0,91.3
9,66,NY_CLONE_PF6 (var),6.07,174.01,33.0,91.3
10,96,NY_CLASSIC (29.53 cap),6.07,174.01,33.0,91.3
11,107,NY_MINTRADES_SNIPER (PF~5.96),5.96,170.02,23.0,91.3
12,97,NY_CLASSIC (PF~5.9),5.89,156.7,35.0,87.5
13,122,NY_CORE_BE (PF~5.85),5.85,166.34,24.0,91.67
14,18,TREND_DAY_ANTISWEEP,5.62,125.12,31.0,90.48
15,76,LDN/NY_SWEEP_SWARM_A,5.55,186.94,37.0,88.0
16,102,LDN_CORE (PF~5.55),5.55,186.94,37.0,88.0
17,125,LDN_CORE (PF~5.55),5.55,186.94,37.0,88.0
18,103,LDN_CORE (PF~5.55 var),5.55,183.63,37.0,88.0
19,98,NY_CLASSIC (PF~4.7),4.7,155.18,33.0,86.96
20,86,LDN_TWEAK_B,4.48,151.42,37.0,84.0
21,84,LDN_TWEAK_A,4.32,154.75,35.0,87.5
22,87,LDN_TWEAK_C,4.04,147.85,25.0,88.0
23,128,LDN_CORE_VAR2 (PF~4.04),4.04,147.85,36.0,88.0
24,124,LDN_CORE+ (PF~3.89),3.89,179.25,39.0,88.46
25,15,KZ_ONLY_NY,3.78,248.88,64.0,89.36
26,127,LDN_CORE_VAR (PF~3.57),3.57,159.55,37.0,88.0
