id,profit_factor,net,deals,win_rate
15,3.78,248.88,64.0,89.36
18,5.62,125.12,31.0,90.48
36,6.11,175.39,33.0,91.3
60,3.44,83.68,20.0,80.0
66,6.07,174.01,33.0,91.3
76,5.55,186.94,37.0,88.0
84,4.32,154.75,35.0,87.5
86,4.48,151.42,37.0,84.0
87,4.04,147.85,25.0,88.0
89,6.11,175.39,33.0,91.3
90,6.23,175.43,23.0,91.3
91,6.79,175.39,33.0,91.3
92,6.11,175.39,33.0,91.3
97,5.89,156.7,35.0,87.5
98,4.7,155.18,33.0,86.96
102,5.55,186.94,37.0,88.0
107,5.96,170.02,23.0,91.3
115,3.4,115.9,39.0,84.0
122,5.85,166.34,24.0,91.67
123,6.23,175.43,33.0,91.3
124,3.89,179.25,39.0,88.46
125,5.55,186.94,37.0,88.0
127,3.57,159.55,37.0,88.0
128,4.04,147.85,36.0,88.0
